id	name	type	min	max	description
56	Type of Service Code	ID	2	2	Code specifying extent of transportation service requested
58	Charge	N2	1	12	For a line item: freight or special charge; for the total invoice: the total charges -- expressed in the standard monetary denomination for the currency specified
59	Freight Class Code	AN	2	5	Code indicating generalized classification that applies to one or more items in the shipment, i.e., class 70, 77.5, etc.
60	Freight Rate	R	1	9	Rate that applies to the specific commodity
61	Free-Form Message	AN	1	30	Free-form information
62	Hazardous Material Code	AN	4	10	Code relating to hazardous material code qualifier for regulated hazardous materials
63	Hazardous Material Contact	AN	1	24	Phone number and name of person or department to contact in case of emergency
64	Hazardous Material Description	AN	2	30	Material name, special instructions, and phone number if any
65	Height	R	1	8	Vertical dimension of an object measured when the object is in the upright position
66	Identification Code Qualifier	ID	1	2	Code designating the system/method of code structure used for Identification Code (67)
67	Identification Code	AN	2	80	Code identifying a party or other code
68	Import License Expiration Date	DT	6	6	Date import license expires
69	Import License Issue Date	DT	6	6	Date the import license was issued
70	Import License Number	AN	6	30	Government assigned identification number for importer of foreign shipments
71	Inquiry Request Number	N0	1	3	Identifying number assigned by inquirer
72	Type of Service Offered Code	ID	1	1	Code indicating type of service offered by carrier
73	Compensation Qualifier	ID	1	1	Code indicating type of compensation
74	Declared Value	N2	2	12	Monetary assigned value expressed in the standard monetary denomination for the currency specified
76	Invoice Number	AN	1	22	Identifying number assigned by issuer
77	Flashpoint Temperature	N	1	3	The flashpoint temperature for hazardous material
78	Container Type Request Code	ID	1	1	Code indicating type of container equipment requested
79	Lading Description	AN	1	50	Description of an item as required for rating and billing purposes
80	Lading Quantity	N0	1	7	Number of units (pieces) of the lading commodity
81	Weight	R	1	10	Numeric value of weight
82	Length	R	1	8	Largest horizontal dimension of an object measured when the object is in the upright position
83	Licensing Agency Code	ID	1	1	Code for licensing agency
86	Total Equipment	N0	1	3	Total pieces of equipment
87	Marks and Numbers	AN	1	48	Marks and numbers used to identify a shipment or parts of a shipment
88	Marks and Numbers Qualifier	ID	1	2	Code specifying the application or source of Marks and Numbers (87)
90	Measurement Unit Qualifier	ID	1	1	Code specifying the linear dimensional unit
91	Transportation Method/Type Code	ID	1	2	Code specifying the method or type of transportation for the shipment
92	Purchase Order Type Code	ID	2	2	Code specifying the type of Purchase Order
93	Name	AN	1	60	Free-form name
95	Number of Containers	N0	1	4	Number of shipping containers
96	Number of Included Segments	N0	1	10	Total number of segments included in a transaction set including ST and SE segments
97	Number of Transaction Sets Included	N0	1	6	Total number of transaction sets included in the functional group or interchange (transmission) group terminated by the trailer containing this data element
98	Entity Identifier Code	ID	2	3	Code identifying an organizational entity, a physical location, property or an individual
100	Currency Code	ID	3	3	Code (Standard ISO) for country in whose currency the charges are specified
102	Ownership Code	ID	1	1	Code indicating the relationship of equipment to carrier or ownership of equipment
103	Packaging Code	AN	3	5	Code identifying the type of packaging; Part 1: Packaging Form, Part 2: Packaging Material; if the Data Element is used, then Part 1 is always required
104	Type of Bankruptcy Code	ID	1	1	Code indicating list of bankruptcy types
106	Event	AN	1	25	Free-form description of event
107	Payment Method Code	ID	1	2	Code identifying type of payment procedures
108	Pick-up or Delivery Code	ID	1	2	Specifies the location or type of pickup or delivery
109	Pick-up Date	DT	8	8	Date the carrier picks up the shipment from the shipper or supplier expressed in format CCYYMMDD
110	Application Acknowledgment Code	ID	1	2	Code indicating the application system edit results of the business data
111	Pick-up Time	TM	4	4	Time (HHMM) that the carrier is to pick up the shipment
112	Pier Name	AN	2	14	Free-form name of the pier
113	Pier Number	AN	1	4	Identifying number for the pier
114	Port Name	AN	2	24	Free-form name for the place at which an offshore carrier originates or terminates (by transshipment or otherwise) its actual ocean carriage of property
115	Port or Terminal Function Code	ID	1	1	Code defining function performed at the port or terminal with respect to a shipment
116	Postal Code	ID	3	15	Code defining international postal zone code excluding punctuation and blanks (zip code for United States)
117	Prepaid Amount	N2	1	9	Money paid at point of origin (usually by shipper) expressed in the standard monetary denomination for the currency specified
118	Rate	R	1	9	Rate expressed in the standard monetary denomination for the currency specified
119	Rate Basis Number	AN	1	6	The (mileage) factor published for rating purposes in the appropriate tariff
120	Rate Combination Point Code	AN	3	9	The code denoting the connecting station for a joint rate obtained by combining two or more published rates which are used for the calculation of transportation charges
121	Rate Class Code	ID	1	3	Code identifying specifically designated class of goods; Note: For international air shipments, see IATA Resolution 600k
122	Rate/Value Qualifier	ID	2	2	Code qualifying how to extend charges or interpret value
123	Number of Received Transaction Sets	N0	1	6	Number of Transaction Sets received
124	Application Receiver's Code	AN	2	15	Code identifying party receiving transmission. Codes agreed to by trading partners
127	Reference Identification	AN	1	30	Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier
128	Reference Identification Qualifier	ID	2	3	Code qualifying the Reference Identification
129	Referenced Pattern Identifier	AN	1	13	Identification of a repetitive pattern that is to be used as a basis for creating a shipment record or a new pattern; or identification of a pattern requiring change or deletion
132	Release Code	ID	1	1	Code signifying whether or not the shipment information transaction set includes instructions for pick-up and movement of the shipment; (This code provides a means for the shipper to transmit billing data along with the movement instructions, transmit billing data ahead of the movement instructions, or follow movement instructions with complete billing data at a later date)
133	Routing Sequence Code	ID	1	2	Code describing the relationship of a carrier to a specific shipment movement
135	Sailing/Flight Date Estimated	DT	8	8	Date for reservation expressed in format CCYYMMDD
136	Sales Comment	AN	2	30	Free-form text used to clarify sales/delivery terms
137	Sales Reference Date	DT	8	8	Date of letter or account number source expressed in format CCYYMMDD
138	Sales Reference Number	AN	4	6	Letter or account number referring to a sales document
139	Sales Terms Code	ID	2	2	Code identifying terms of sale
140	Standard Carrier Alpha Code	ID	2	4	Standard Carrier Alpha Code
141	Schedule B Code	ID	7	10	Code identifying commodity number established for international statistical purposes
142	Application Sender's Code	AN	2	15	Code identifying party sending transmission; codes agreed to by trading partners
143	Transaction Set Identifier Code	ID	3	3	Code uniquely identifying a Transaction Set
145	Shipment Identification Number	AN	1	30	Identification number assigned to the shipment by the shipper that uniquely identifies the shipment from origin to ultimate destination and is not subject to modification; (Does not contain blanks or special characters)
146	Shipment Method of Payment	ID	2	2	Code identifying payment terms for transportation charges
147	Shipment Qualifier	ID	1	1	Code defining relationship of this shipment with respect to other shipments given to the carrier at the same time
148	Lading Value	R	2	9	Value of shipment for export, expressed in the standard monetary denomination for the currency specified
150	Special Charge or Allowance Code	ID	3	3	Code identifying type of special charge or allowance
151	Authority	AN	1	20	Name or code of authority for authorizing action or reservation
152	Special Handling Code	ID	2	3	Code specifying special transportation handling instructions
153	Special Handling Description	AN	2	30	Free-form additional description of special handling instructions to appear on printed bill if special handling code is not adequate
154	Standard Point Location Code	ID	6	9	Code (Standard Point Location) defined by NMFTA point development group as the official code assigned to a city or point (for ratemaking purposes) within a city
156	State or Province Code	ID	2	2	Code (Standard State/Province) as defined by appropriate government agency
157	Shipment Status Code	ID	1	2	Code indicating the status of a shipment
158	Status Date	DT	6	6	Date of last reported status of cargo
159	Status Location	AN	3	5	Air shipment: Airport code for last reported status for a shipment; (Note: If the shipment is in-flight, the status location is the origin airport for this flight) Ground transportation: Code of carrier's terminal
160	Status Report Request Code	ID	1	1	Code used by the shipper to specify that an automatic status report is requested when the shipment is delivered
161	Status Time	TM	4	4	Time (HHMM) of last reported status of cargo
163	Stop Reason Code	ID	2	2	Code specifying the reason for the stop
165	Stop Sequence Number	N0	1	3	Identifying number for the specific stop and the sequence in which the stop is to be performed
166	Address Information	AN	1	55	Address information
167	Tare Weight				View more information
168	Tariff Agency Code	ID	1	4	Code defining the tariff bureau or tariff publishing agent that governs the rates applied to this shipment
169	Tariff Item Number	AN	1	16	Number assigned in the tariff to specific rate or group of rates that applies to one or more items in the shipment
170	Tariff Item Part	N0	1	2	Number assigned to subsection of a specific tariff item (arbitrary)
171	Tariff Number	AN	1	7	Standard tariff number for the tariff which governs the rates applied to the commodity item(s)
172	Tariff Section	AN	1	2	Number used as an extension of the basic tariff number to identify the rates published within specific sections of the tariff
173	Tariff Supplement Identifier	AN	1	4	Identifier for the tariff supplement which contains the rate used
174	Terminal Name	AN	2	30	Free-form field for terminal name
176	Time Qualifier	ID	1	2	Code specifying the reported time
177	Intermodal Service Code	ID	1	2	Code identifying the Intermodal Service Plan
181	Quantity or Status Adjustment Reason Code	ID	2	2	Code indicating reason for change in level or status of inventory
182	Vessel Name	AN	2	28	Name of ship as documented in Lloyd's Register of Ships
183	Volume	R	1	8	Value of volumetric measure
184	Volume Unit Qualifier	ID	1	1	Code identifying the volume unit
186	Waybill Number	N0	1	6	Carrier accounting number of the waybill for the inbound movement
187	Weight Qualifier	ID	1	2	Code defining the type of weight
188	Weight Unit Code	ID	1	1	Code specifying the weight unit
189	Width	R	1	8	Shorter measurement of the two horizontal dimensions measured with the object in the upright position
190	Accomplish Code	ID	1	1	Code indicating the status of a specified stop
191	Advances	N2	1	9	Incidental charges occurring during transportation which are not generally considered to be freight charges (examples - stop charges, diversion and reconsignment, icing) expressed in the standard monetary denomination for the currency specified
192	Agent/Shipper Routing Code	ID	1	1	Code identifying source of routing specification
193	Net Amount Due	N2	1	12	Total charges to be paid by the receiver of this transaction set expressed in the standard monetary denomination for the currency specified
195	Capacity Load Code	ID	1	1	Code specifying type of capacity load
196	Mortgagor Response Code	ID	1	1	Code indicating borrower's attitude toward mortgage default
197	Mortgagee Information Status Code	ID	2	2	Code indicating mortgagee name and address information status
199	Confidential Billing Request Code	ID	1	1	Code used by the shipper to request that the carrier inhibit origin identification information from the invoice transaction sets and/or rate and charges from waybill documents and transaction sets when shipment moves under confidential contract rates
200	Hazardous Materials Page	AN	1	6	The United Nations page number as required for the international transport of hazardous materials
201	Business Transaction Status	ID	1	3	Code indicating the status of an ocean business transaction as it relates to the processing of ocean bills of lading
202	Correction Indicator	ID	2	2	Code used to indicate that the transaction set contains information which corrects previous information
203	Cubic Capacity	N0	2	4	Capacity of car ordered (cubic feet unless otherwise specified)
204	Direct Store Delivery Sequence Number	N0	1	4	Direct Store Delivery sequential number of the line item detail or a new line item detail
205	Dunnage	N0	1	6	Weight of material used to protect lading (even bracings, false floors, etc.)
206	Equipment Initial	AN	1	4	Prefix or alphabetic part of an equipment unit's identifying number
207	Equipment Number	AN	1	10	Sequencing or serial part of an equipment unit's identifying number (pure numeric form for equipment number is preferred)
208	Hazardous Material Code Qualifier	ID	1	1	Code which qualifies the Hazardous Material Class Code (209)
209	Hazardous Material Class Code	AN	1	4	Code specifying the kind of hazard for a material
210	International/Domestic Code	ID	1	1	Code indicating international or domestic shipment
211	Packaging Form Code	ID	3	3	Code for packaging form of the lading quantity
212	Unit Price	R	1	17	Price per unit of product, service, commodity, etc.
213	Lading Line Item Number	N0	1	3	Sequential line number for a lading item
214	Waybill Request Code	ID	1	1	To identify the type of waybill request
215	Hazardous Classification	ID	1	30	The hazardous classification corresponding to the shipping name of the hazardous commodity
216	Metric Qualifier	ID	1	1	Code used to indicate that measurements are given in metric units
218	Hazardous Placard Notation	ID	14	40	The placard notation corresponding to the hazard class of the hazardous commodity
219	Position	AN	1	3	Relative position of shipment in car, trailer, or container (mutually defined)
220	Billed/Rated-as Quantity	R	1	11	Basis for rating (miles, value, volume, etc.); Note: Weight may be defined by either data element 220 or 81
221	Billed/Rated-as Qualifier	ID	2	2	Code identifying the type of quantity or value on which the rate or item pricing is based
222	Hazardous Endorsement	ID	4	25	The placard endorsement that is to be shown on the shipping papers for the hazardous commodity
223	Repetitive Pattern Number	N0	5	5	RWC number composed of a four-digit number with a fifth digit being a modulus 10 check digit
224	Hazardous Material Shipping Name	AN	1	25	The proper shipping name of the hazardous commodity as specified by the Code of Federal Regulations, Title 49
225	Seal Number	AN	2	15	Unique number on seal used to close a shipment
226	Section Seven Code	ID	1	1	Code indicating applicability of section seven option (if not transmitted assume not in effect)
227	Tariff Column	AN	1	2	A tariff commodity classification that is used, as a means of control, for grouping of commodities in tariff applications
229	Transit Registration Number	AN	1	6	Freight bill or bureau number used to identify a transit shipment
230	Subsidiary Classification	ID	1	3	Code indicating the classification of dangerous goods, other than the primary classification, that is associated with a number or a set of numbers
231	Cross Reference Type Code	ID	1	1	Code defining relationship of equipment to equipment cross-referenced
232	Weight Allowance	N0	2	6	Allowance made for increased weight due to such factors as snow
233	Weight Capacity	N0	2	3	Capacity of car ordered (stated in 1000 pound units or 1000 kilogram units)
234	Product/Service ID	AN	1	48	Identifying number for a product or service
235	Product/Service ID Qualifier	ID	2	2	Code identifying the type/source of the descriptive number used in Product/Service ID (234)
236	Price Identifier Code	ID	3	3	Code identifying pricing specification
237	Item List Cost	R	1	9	Gross unit cost within the appropriate price bracket for a line item
238	Emergency Response Plan Number	AN	1	12	The identity number of a specific hazardous emergency response plan that is assigned by the Director General of Canada
240	Car Service Order Code	ID	3	5	Code specifying car service order
241	Protective Service Code	ID	1	4	Code specifying perishable protective service- rail carriers only
242	Vent Instruction Code	ID	1	7	Code specifying vent instructions
243	Transaction Reference Date	DT	8	8	Date of referenced transaction set expressed in format CCYYMMDD
244	Transaction Reference Number	AN	1	15	Sender's assigned number for referenced transaction set
246	Certification/Clause Code	ID	2	4	Code identifying certification/clause information
247	Certification/Clause Text	AN	2	60	Free-form description of commercial invoice certification/clause
248	Allowance or Charge Indicator	ID	1	1	Code which indicates an allowance or charge for the service specified
249	Vessel Requirement Code	ID	1	1	Code specifying options for satisfying vessel requirements
250	Letter of Credit Number	AN	2	40	Identifying reference number for a letter of credit
253	Automobile Ramp Facility Code	ID	1	1	Code identifying the type of automobile ramp facility
254	Packing Group Code	ID	1	3	Code indicating degree of danger in terms of Roman number I, II or III
255	Expiration Date	DT	6	6	Date of expiration of tariff or tariff supplement
256	Manifest Type Code	ID	1	1	Code identifying the type of manifest transmitted
257	Tariff Application Code	ID	1	1	Code indicating to which traffic a tariff applies
258	Quantity Cost	N4	1	9	Cost per unit as expressed in the associated data element 355 (Unit of Measure) whenever unit is different than the quantity ordered
259	Change Type Code	ID	1	1	Code indicating change type
260	Group Title	AN	2	30	The descriptive title of a data group
261	Source of Disclosure Code	ID	1	1	Code identifying the source of the disclosure information
262	Geography Qualifier Code	ID	1	1	Code indicating geographic usage for tariff application
263	Rating Code	ID	2	2	Code identifying the status of the credit account rating
264	Census Merchandise Type Code	ID	1	1	Code indicating type of merchandise
265	Census Export License Identifier Code	ID	1	1	Code indicating export licenses issued by Department of Commerce
267	Net Explosive Quantity	N0	1	6	Net weight of the explosive quantity of the hazardous commodity
268	Census Container Code	ID	1	1	Code indicating containerization
269	Census Special Identifier Code	ID	1	1	Code identifying intransit shipments, nonstatistical shipments, and correction records
271	Subsidiary Risk Indicator	ID	1	2	Code identifying the type of subsidiary risk
272	Hazardous Certification Code	ID	1	1	Code indicating the form of the hazardous certification
273	Hazardous Certification Declaration	AN	1	25	Hazardous material certification verbiage as required by Title 49 of Code of Federal Regulations
274	Hazardous Material Classification	AN	1	30	Free-form description of hazardous material classification or division or label requirements
275	Authorization Date	DT	8	8	Date authentication is made expressed in format CCYYMMDD
276	Special Charge Description	AN	2	25	Identification of special charge; this data element is used whenever an applicable code cannot be found in data element 150
277	UN/NA Identification Code	ID	6	6	Code identifying the hazardous material identification number as required by Title 49 of the code of Federal Regulations; UN/NA stands for United Nations/North America
278	Terminator Type Code	ID	1	1	Code identifying the type of cluster being terminated
280	Exchange Rate	R	4	10	Value to be used as a multiplier conversion factor to convert monetary value from one currency to another
281	Carrier Restriction Code	AN	1	10	Carrier's internal code indicating carrier's restricted services
282	Terms Start Date	DT	8	8	Date from which payment terms are calculated expressed in format CCYYMMDD
283	Terms Due Date Qualifier	ID	2	2	Code identifying the method to be used for payment in conjunction with due date
284	Service Level Code	ID	2	2	Code indicating the level of transportation service or the billing service offered by the transportation carrier
285	Depositor Order Number	AN	1	22	Identifying number for warehouse shipping order assigned by the depositor
286	Product/Service Condition Code	ID	2	2	Code identifying condition of product/service
287	Authorize/ De-Authorize Code	ID	1	1	Code specifying the function of the authorize/de-authorize transaction set
288	Prepriced Option Code	ID	1	1	Code specifying prepricing option selected
289	Multiple Price Quantity	N0	1	2	Quantity of units for a given price, e.g., 3 for $10.00
290	Price Condition Code	ID	2	2	Code identifying a particular condition applicable to a price change
291	Price Condition Applies Code	ID	3	3	Code indicating whether price conditions apply to a price change
292	Quantity Basis	ID	3	3	Identifies the total product allocation condition
293	Promotion Condition Qualifier	ID	2	2	Code to inform retailer/wholesaler of the promotion
294	Tariff Distance	N0	1	5	Distance on which the rate for a shipment is based
295	Distance Qualifier	ID	1	1	Code identifying the distance unit
296	Intermediate Switch Carrier	ID	2	4	Code defining a road which neither originates nor terminates the shipment but provides a switching service between two roadhaul rail carriers (SCAC code for rail switch carrier)
298	Origin EDI Carrier Code	ID	2	4	Code (SCAC) identifying the carrier which originates the EDI transaction set for a shipment
299	Free-form Transit Data	AN	1	80	Free-form data relative to inbound transit information
301	Car Type Code	ID	1	4	Code specifying type of rail car or intermodal equipment type and its general characteristics
304	Event Code	ID	3	3	Code identifying the event about which a report is made
305	Transaction Handling Code	ID	1	2	Code designating the action to be taken by all parties
306	Action Code	ID	1	2	Code indicating type of action
308	Damage Exception Indicator	ID	1	1	Code to indicate whether damage is being reported to a vehicle in this transaction set
309	Location Qualifier	ID	1	2	Code identifying type of location
310	Location Identifier	AN	1	30	Code which identifies a specific location
311	Shipment Type Code	ID	1	2	Code identifying shipment type
312	Special Indicator Code	ID	1	1	Code identifying shipment type
313	Authority Identifier Code	ID	2	2	Code indicating authority for authentication
315	Compensation Paid	R	2	5	Commission paid to broker for services rendered
316	Next Port of Discharge	AN	2	24	Port at which vessel will make next discharge
317	Total Compensation Amount	N0	3	10	Amount calculated from brokerage amount
318	Current Port of Loading	AN	2	24	Port at which cargo is currently being loaded
319	Temperature Control	AN	3	6	Free-form abbreviation of temperature range or flash-point temperature
320	Scale	AN	1	10	A carrier-maintained reference used to further identify a schedule of rates within a tariff
321	Intermodal Facility Code	ID	1	1	Code identifying the type of intermodal loading and unloading facility
322	Load/Empty Status Code	ID	1	1	Code which specifies the loaded condition of transportation equipment
323	Purchase Order Date	DT	8	8	Date assigned by the purchaser to Purchase Order expressed in format CCYYMMDD
324	Purchase Order Number	AN	1	22	Identifying number for Purchase Order assigned by the orderer/purchaser
325	Tax Identification Number	AN	1	20	Number assigned to a purchaser (buyer, orderer) by a taxing jurisdiction (state, county, etc.); often called a tax exemption number or certificate number
326	Request Reference Number	AN	1	45	Reference number or RFQ number to use to identify a particular transaction set and query (additional reference number or description which can be used with contract number)
327	Change Order Sequence Number	AN	1	8	Number assigned by the orderer identifying a specific change or revision to a previously transmitted transaction set
328	Release Number	AN	1	30	Number identifying a release against a Purchase Order previously placed by the parties involved in the transaction
329	Transaction Set Control Number	AN	4	9	Identifying control number that must be unique within the transaction set functional group assigned by the originator for a transaction set
330	Quantity Ordered	R	1	15	Quantity ordered
331	Allowance or Charge Method of Handling Code	ID	2	2	Code indicating method of handling for an allowance or charge
332	Percent	R	1	6	Percent expressed as a percent
333	Terms Basis Date Code	ID	1	2	Code identifying the beginning of the terms period
334	Transportation Terms Qualifier Code	ID	2	2	Code identifying the source of the transportation terms
335	Transportation Terms Code	ID	3	3	Code identifying the trade terms which apply to the shipment transportation responsibility
336	Terms Type Code	ID	2	2	Code identifying type of payment terms
337	Time	TM	4	8	Time expressed in 24-hour clock time as follows: HHMM, or HHMMSS, or HHMMSSD, or HHMMSSDD, where H = hours (00-23), M = minutes (00-59), S = integer seconds (00-59) and DD = decimal seconds; decimal seconds are expressed as follows: D = tenths (0-9) and DD = hundredths (00-99)
338	Terms Discount Percent	R	1	6	Terms discount percentage, expressed as a percent, available to the purchaser if an invoice is paid on or before the Terms Discount Due Date
339	Allowance or Charge Quantity	R	1	10	Quantity basis when allowance or charge quantity is different from the purchase order or invoice quantity
340	Allowance or Charge Code	ID	1	3	Code identifying the type of allowance or charge
341	Allowance or Charge Number	AN	1	16	The number assigned by a vendor referencing an allowance, promotion, deal or charge
342	Percent of Invoice Payable	R	1	5	Amount of invoice payable expressed in percent
343	Installment Total Invoice Amount Due	N2	1	10	Deferred or installment portion of the total invoice (including charges, less allowances) before terms discount (if discount is applicable)
344	Unit of Time Period or Interval	ID	2	2	Code indicating the time period or interval
345	Lead Time Code	ID	2	2	Code indicating the time range
346	Application Type	ID	2	2	Code identifying an application
347	Hash Total	R	1	10	Sum of values of the specified data element. All values in the data element will be summed without regard to decimal points (explicit or implicit) or signs. Truncation will occur on the left most digits if the sum is greater than the maximum size of the hash total of the data element.
348	Jurisdiction Code	ID	3	3	Code indicating the jurisdiction of the regional servicing office
349	Item Description Type	ID	1	1	Code indicating the format of a description
350	Assigned Identification	AN	1	20	Alphanumeric characters assigned for differentiation within a transaction set
351	Terms Discount Days Due	N0	1	3	Number of days in the terms discount period by which payment is due if terms discount is earned
352	Description	AN	1	80	A free-form description to clarify the related data elements and their content
353	Transaction Set Purpose Code	ID	2	2	Code identifying purpose of transaction set
354	Number of Line Items	N0	1	6	Total number of line items in the transaction set
355	Unit or Basis for Measurement Code	ID	2	2	Code specifying the units in which a value is being expressed, or manner in which a measurement has been taken
356	Pack	N0	1	6	The number of inner containers, or number of eaches if there are no inner containers, per outer container
357	Size	R	1	8	Size of supplier units in pack
358	Quantity Invoiced	R	1	10	Number of units invoiced (supplier units)
359	Allowance or Charge Rate	R	1	15	Allowance or Charge Rate per Unit
360	Allowance or Charge Total Amount	N2	1	15	Total dollar amount for the allowance or charge
361	Total Invoice Amount	N2	1	10	Amount of invoice (including charges, less allowances) before terms discount (if discount is applicable)
362	Terms Discount Amount	N2	1	10	Total amount of terms discount
363	Note Reference Code	ID	3	3	Code identifying the functional area or purpose for which the note applies
364	Communication Number	AN	1	80	Complete communications number including country or area code when applicable
365	Communication Number Qualifier	ID	2	2	Code identifying the type of communication number
366	Contact Function Code	ID	2	2	Code identifying the major duty or responsibility of the person or group named
367	Contract Number	AN	1	30	Contract number
368	Shipment/Order Status Code	ID	2	2	Code indicating the status of an order or shipment or the disposition of any difference between the quantity ordered and the quantity shipped for a line item or transaction
369	Free-form Description	AN	1	45	Free-form descriptive text
370	Terms Discount Due Date	DT	8	8	Date payment is due if discount is to be earned expressed in format CCYYMMDD
371	Change Reason Code	ID	2	2	Code specifying the reason for price or quantity change
372	Lading Liability Code	ID	1	1	Code identifying limits of liability
373	Date	DT	8	8	Date expressed as CCYYMMDD 
374	Date/Time Qualifier	ID	3	3	Code specifying type of date or time, or both date and time
375	Tariff Service Code	ID	2	2	Code specifying the types of services for rating purposes
376	Test Indicator	ID	1	1	Code indicating whether data enclosed by this interchange envelope is test or production
377	Rounding Rule Code	ID	1	1	Code indicating how rate should be rounded by a rate adjustment
378	Allowance/Charge Percent Qualifier	ID	1	1	Code indicating on what basis allowance or charge percent is calculated
379	Bid Type Response Code	ID	2	2	Code indicating the type of response to the request for bid or quote
380	Quantity	R	1	15	Numeric value of quantity
381	Price Reason Code	ID	1	1	Code identifying reason for differences in price or coupons redeemed
382	Number of Units Shipped	R	1	10	Numeric value of units shipped in manufacturer's shipping units for a line item or transaction set
383	Quantity Difference	R	1	9	Numeric value of variance between ordered and shipped quantities
384	Gross Weight per Pack	R	1	9	Numeric value of gross weight per pack
385	Gross Volume per Pack	R	1	9	Numeric value of gross volume per pack
386	Terms Net Days	N0	1	3	Number of days until total invoice amount is due (discount not applicable)
387	Routing	AN	1	35	Free-form description of the routing or requested routing for shipment, or the originating carrier's identity
388	Terms Deferred Due Date	DT	8	8	Date deferred payment or percent of invoice payable is due expressed in format CCYYMMDD
389	Deferred Amount Due	N2	1	10	Deferred amount due for payment
390	Amount Subject to Terms Discount	N2	1	10	Amount upon which the terms discount amount is calculated
391	Discounted Amount Due	N2	1	10	Amount of invoice due if paid by terms discount due date (total invoice or installment amount less cash discount)
392	Bill of Lading Status Code	ID	1	2	Code indicating the status of a bill of lading
393	Amendment Code	ID	2	2	Code giving the reasons for the amendment of the manifest record
394	Warehouse Receipt Number	AN	1	12	Identification number assigned to a stock replenishment receipt by the warehouse
395	Unit Weight	R	1	8	Numeric value of weight per unit
396	Shipment Identification	AN	2	30	A unique control number assigned by the original shipper to identify a specific shipment
397	Color	AN	1	10	Free-form description of color
398	Order Sizing Factor	R	1	10	A product specification other than gross or net weight, or cubic feet for a line item or transaction used for order sizing and pricing purposes
399	Pallet Exchange Code	ID	1	1	Code specifying pallet exchange instructions
400	Unit Load Option Code	ID	2	2	Code identifying loading or unloading a shipment
402	Communications ID	AN	1	10	A unique string of characters that identifies the transmitting company
404	Transmission Control Number	N0	1	5	A unique number assigned to the transmission group by the sender
406	Quantity of Pallets Shipped	N0	1	3	Number of pallets shipped
407	Seal Status Code	ID	2	2	Code indicating condition of door seal upon arrival
408	Temperature	R	1	4	Temperature
409	Quantity of Pallets Received	N0	1	3	Number of pallets received
410	Quantity of Pallets Returned	N0	1	3	Number of pallets returned or exchanged
411	Quantity Contested	R	1	7	Number of units representing any difference between quantity shipped and quantity received
412	Receiving Condition Code	ID	2	2	Code designating physical condition or status of units received in a specific shipment
413	Quantity Received	R	1	7	Number of shipping units received
414	Lading Quantity Received	N0	1	7	Number of units (pieces) of the lading quantity received
415	Rate Adjustment Description Code	ID	1	2	Code describing rate adjustment functions
